Estudiante,Región,Nivel,Grado,Institución Educativa,Ambito,Sexo,R Producción de textos,Año,ANALISIS,PADD-R,ID IE,ID2,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Año.1,#
30,48. Piura,Primaria,4 Primaria,14975,Rural,Masculino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14975,149754 Primaria,,,,,,,,,,,,,,,,,,,,,,,
31,48. Piura,Primaria,4 Primaria,14975,Rural,Masculino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14975,149754 Primaria,,,,,,,,,,,,,,,,,,,,,,,
32,48. Piura,Primaria,4 Primaria,14975,Rural,Masculino,Proceso,2024,SOLO 2024,PADD 2023 Y 2024,14975,149754 Primaria,,,,,,,,,,,,,,,,,,,,,,,
33,48. Piura,Primaria,4 Primaria,14975,Rural,Femenino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14975,149754 Primaria,,,,,,,,,,,,,,,,,,,,,,,
34,48. Piura,Primaria,4 Primaria,14975,Rural,Femenino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14975,149754 Primaria,,,,,,,,,,,,,,,,,,,,,,,
35,48. Piura,Primaria,4 Primaria,14975,Rural,Femenino,Proceso,2024,SOLO 2024,PADD 2023 Y 2024,14975,149754 Primaria,,,,,,,,,,,,,,,,,,,,,,,
36,48. Piura,Primaria,4 Primaria,15304,Rural,Masculino,Inicio,2024,2023 Y 2024,SOLO 2023,15304,153044 Primaria,,,,,,,,,,,,,,,,,,,,,,,
37,48. Piura,Primaria,4 Primaria,15304,Rural,Masculino,Inicio,2024,2023 Y 2024,SOLO 2023,15304,153044 Primaria,,,,,,,,,,,,,,,,,,,,,,,
38,48. Piura,Primaria,4 Primaria,SAGRADO CORAZON DE JESUS,Rural,Masculino,Inicio,2024,2023 Y 2024,NO PARTICIPÓ,SAGRADO CORAZON DE JESUS,SAGRADO CORAZON DE JESUS4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
39,48. Piura,Primaria,4 Primaria,SAGRADO CORAZON DE JESUS,Rural,Masculino,Inicio,2024,2023 Y 2024,NO PARTICIPÓ,SAGRADO CORAZON DE JESUS,SAGRADO CORAZON DE JESUS4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
40,48. Piura,Primaria,4 Primaria,SAGRADO CORAZON DE JESUS,Rural,Masculino,Inicio,2024,2023 Y 2024,NO PARTICIPÓ,SAGRADO CORAZON DE JESUS,SAGRADO CORAZON DE JESUS4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
41,48. Piura,Primaria,4 Primaria,SAGRADO CORAZON DE JESUS,Rural,Masculino,Inicio,2024,2023 Y 2024,NO PARTICIPÓ,SAGRADO CORAZON DE JESUS,SAGRADO CORAZON DE JESUS4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
42,48. Piura,Primaria,4 Primaria,SAGRADO CORAZON DE JESUS,Rural,Femenino,Inicio,2024,2023 Y 2024,NO PARTICIPÓ,SAGRADO CORAZON DE JESUS,SAGRADO CORAZON DE JESUS4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
43,48. Piura,Primaria,4 Primaria,SAGRADO CORAZON DE JESUS,Rural,Femenino,Inicio,2024,2023 Y 2024,NO PARTICIPÓ,SAGRADO CORAZON DE JESUS,SAGRADO CORAZON DE JESUS4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
44,48. Piura,Primaria,4 Primaria,SAGRADO CORAZON DE JESUS,Rural,Femenino,Inicio,2024,2023 Y 2024,NO PARTICIPÓ,SAGRADO CORAZON DE JESUS,SAGRADO CORAZON DE JESUS4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
45,48. Piura,Primaria,4 Primaria,14144 SANTA ROSA,Rural,Femenino,Proceso,2024,2023 Y 2024,SOLO 2023,14144 SANTA ROSA,14144 SANTA ROSA4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
46,48. Piura,Primaria,4 Primaria,14144 SANTA ROSA,Rural,Femenino,Inicio,2024,2023 Y 2024,SOLO 2023,14144 SANTA ROSA,14144 SANTA ROSA4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
47,48. Piura,Primaria,4 Primaria,14144 SANTA ROSA,Rural,Femenino,Inicio,2024,2023 Y 2024,SOLO 2023,14144 SANTA ROSA,14144 SANTA ROSA4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
48,48. Piura,Primaria,4 Primaria,14144 SANTA ROSA,Rural,Femenino,Proceso,2024,2023 Y 2024,SOLO 2023,14144 SANTA ROSA,14144 SANTA ROSA4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
49,48. Piura,Primaria,4 Primaria,14144 SANTA ROSA,Rural,Masculino,Inicio,2024,2023 Y 2024,SOLO 2023,14144 SANTA ROSA,14144 SANTA ROSA4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
50,48. Piura,Primaria,4 Primaria,14144 SANTA ROSA,Rural,Masculino,Inicio,2024,2023 Y 2024,SOLO 2023,14144 SANTA ROSA,14144 SANTA ROSA4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
51,48. Piura,Primaria,4 Primaria,14144 SANTA ROSA,Rural,Masculino,Inicio,2024,2023 Y 2024,SOLO 2023,14144 SANTA ROSA,14144 SANTA ROSA4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
52,48. Piura,Primaria,4 Primaria,14144 SANTA ROSA,Rural,Masculino,Inicio,2024,2023 Y 2024,SOLO 2023,14144 SANTA ROSA,14144 SANTA ROSA4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
53,48. Piura,Primaria,4 Primaria,14144 SANTA ROSA,Rural,Masculino,Inicio,2024,2023 Y 2024,SOLO 2023,14144 SANTA ROSA,14144 SANTA ROSA4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
54,48. Piura,Primaria,4 Primaria,14144 SANTA ROSA,Rural,Masculino,Inicio,2024,2023 Y 2024,SOLO 2023,14144 SANTA ROSA,14144 SANTA ROSA4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
55,48. Piura,Primaria,4 Primaria,14144 SANTA ROSA,Rural,Masculino,Inicio,2024,2023 Y 2024,SOLO 2023,14144 SANTA ROSA,14144 SANTA ROSA4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
56,48. Piura,Primaria,4 Primaria,14144 SANTA ROSA,Rural,Masculino,Proceso,2024,2023 Y 2024,SOLO 2023,14144 SANTA ROSA,14144 SANTA ROSA4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
57,48. Piura,Primaria,4 Primaria,14144 SANTA ROSA,Rural,Masculino,Proceso,2024,2023 Y 2024,SOLO 2023,14144 SANTA ROSA,14144 SANTA ROSA4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
58,48. Piura,Primaria,4 Primaria,14144 SANTA ROSA,Rural,Masculino,Proceso,2024,2023 Y 2024,SOLO 2023,14144 SANTA ROSA,14144 SANTA ROSA4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
59,48. Piura,Primaria,4 Primaria,14144 SANTA ROSA,Rural,Masculino,Satisfactorio,2024,2023 Y 2024,SOLO 2023,14144 SANTA ROSA,14144 SANTA ROSA4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
60,48. Piura,Primaria,4 Primaria,14144 SANTA ROSA,Rural,Femenino,Satisfactorio,2024,2023 Y 2024,SOLO 2023,14144 SANTA ROSA,14144 SANTA ROSA4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
61,48. Piura,Primaria,4 Primaria,14144 SANTA ROSA,Rural,Femenino,Proceso,2024,2023 Y 2024,SOLO 2023,14144 SANTA ROSA,14144 SANTA ROSA4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
62,48. Piura,Primaria,4 Primaria,14144 SANTA ROSA,Rural,Femenino,Proceso,2024,2023 Y 2024,SOLO 2023,14144 SANTA ROSA,14144 SANTA ROSA4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
63,48. Piura,Primaria,4 Primaria,14144 SANTA ROSA,Rural,Femenino,Proceso,2024,2023 Y 2024,SOLO 2023,14144 SANTA ROSA,14144 SANTA ROSA4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
64,48. Piura,Primaria,4 Primaria,14144 SANTA ROSA,Rural,Femenino,Proceso,2024,2023 Y 2024,SOLO 2023,14144 SANTA ROSA,14144 SANTA ROSA4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
65,48. Piura,Primaria,4 Primaria,14894,Rural,Femenino,Inicio,2024,SOLO 2024,SOLO 2024,14894,148944 Primaria,,,,,,,,,,,,,,,,,,,,,,,
66,48. Piura,Primaria,4 Primaria,15383,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,15383,153834 Primaria,,,,,,,,,,,,,,,,,,,,,,,
67,48. Piura,Primaria,4 Primaria,14141,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,14141,141414 Primaria,,,,,,,,,,,,,,,,,,,,,,,
68,48. Piura,Primaria,4 Primaria,15478,Rural,Masculino,Inicio,2024,2023 Y 2024,PADD 2023 Y 2024,15478,154784 Primaria,,,,,,,,,,,,,,,,,,,,,,,
69,48. Piura,Primaria,4 Primaria,14045,Rural,Masculino,Inicio,2024,SOLO 2024,SOLO 2023,14045,140454 Primaria,,,,,,,,,,,,,,,,,,,,,,,
70,48. Piura,Primaria,4 Primaria,14045,Rural,Femenino,Inicio,2024,SOLO 2024,SOLO 2023,14045,140454 Primaria,,,,,,,,,,,,,,,,,,,,,,,
71,48. Piura,Primaria,4 Primaria,14145 SANTA JULIA BILLIART,Rural,Masculino,Proceso,2024,2023 Y 2024,SOLO 2023,14145 SANTA JULIA BILLIART,14145 SANTA JULIA BILLIART4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
72,48. Piura,Primaria,4 Primaria,14145 SANTA JULIA BILLIART,Rural,Masculino,Inicio,2024,2023 Y 2024,SOLO 2023,14145 SANTA JULIA BILLIART,14145 SANTA JULIA BILLIART4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
73,48. Piura,Primaria,4 Primaria,14145 SANTA JULIA BILLIART,Rural,Masculino,Inicio,2024,2023 Y 2024,SOLO 2023,14145 SANTA JULIA BILLIART,14145 SANTA JULIA BILLIART4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
74,48. Piura,Primaria,4 Primaria,14145 SANTA JULIA BILLIART,Rural,Masculino,Inicio,2024,2023 Y 2024,SOLO 2023,14145 SANTA JULIA BILLIART,14145 SANTA JULIA BILLIART4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
75,48. Piura,Primaria,4 Primaria,14145 SANTA JULIA BILLIART,Rural,Masculino,Inicio,2024,2023 Y 2024,SOLO 2023,14145 SANTA JULIA BILLIART,14145 SANTA JULIA BILLIART4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
76,48. Piura,Primaria,4 Primaria,14145 SANTA JULIA BILLIART,Rural,Masculino,Inicio,2024,2023 Y 2024,SOLO 2023,14145 SANTA JULIA BILLIART,14145 SANTA JULIA BILLIART4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
77,48. Piura,Primaria,4 Primaria,14145 SANTA JULIA BILLIART,Rural,Femenino,Inicio,2024,2023 Y 2024,SOLO 2023,14145 SANTA JULIA BILLIART,14145 SANTA JULIA BILLIART4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
78,48. Piura,Primaria,4 Primaria,14145 SANTA JULIA BILLIART,Rural,Femenino,Inicio,2024,2023 Y 2024,SOLO 2023,14145 SANTA JULIA BILLIART,14145 SANTA JULIA BILLIART4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
79,48. Piura,Primaria,4 Primaria,14145 SANTA JULIA BILLIART,Rural,Femenino,Proceso,2024,2023 Y 2024,SOLO 2023,14145 SANTA JULIA BILLIART,14145 SANTA JULIA BILLIART4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
80,48. Piura,Primaria,4 Primaria,14145 SANTA JULIA BILLIART,Rural,Femenino,Inicio,2024,2023 Y 2024,SOLO 2023,14145 SANTA JULIA BILLIART,14145 SANTA JULIA BILLIART4 Primaria,,,,,,,,,,,,,,,,,,,,,,,
1,48. Piura,Primaria,6 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Femenino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION6 Primaria,,,,,,,,,,,,,,,,,,,,,,,
2,48. Piura,Primaria,6 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Femenino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION6 Primaria,,,,,,,,,,,,,,,,,,,,,,,
3,48. Piura,Primaria,6 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Femenino,Proceso,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION6 Primaria,,,,,,,,,,,,,,,,,,,,,,,
4,48. Piura,Primaria,6 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Femenino,Satisfactorio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION6 Primaria,,,,,,,,,,,,,,,,,,,,,,,
5,48. Piura,Primaria,6 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Femenino,Satisfactorio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION6 Primaria,,,,,,,,,,,,,,,,,,,,,,,
6,48. Piura,Primaria,6 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Femenino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION6 Primaria,,,,,,,,,,,,,,,,,,,,,,,
7,48. Piura,Primaria,6 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Femenino,Proceso,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION6 Primaria,,,,,,,,,,,,,,,,,,,,,,,
8,48. Piura,Primaria,6 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Femenino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION6 Primaria,,,,,,,,,,,,,,,,,,,,,,,
9,48. Piura,Primaria,6 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Masculino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION6 Primaria,,,,,,,,,,,,,,,,,,,,,,,
10,48. Piura,Primaria,6 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Masculino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION6 Primaria,,,,,,,,,,,,,,,,,,,,,,,
11,48. Piura,Primaria,6 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Masculino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION6 Primaria,,,,,,,,,,,,,,,,,,,,,,,
12,48. Piura,Primaria,6 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Masculino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION6 Primaria,,,,,,,,,,,,,,,,,,,,,,,
13,48. Piura,Primaria,6 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Masculino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION6 Primaria,,,,,,,,,,,,,,,,,,,,,,,
14,48. Piura,Primaria,6 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Masculino,Proceso,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION6 Primaria,,,,,,,,,,,,,,,,,,,,,,,
15,48. Piura,Primaria,6 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Femenino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION6 Primaria,,,,,,,,,,,,,,,,,,,,,,,
16,48. Piura,Primaria,6 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Femenino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION6 Primaria,,,,,,,,,,,,,,,,,,,,,,,
17,48. Piura,Primaria,6 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Femenino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION6 Primaria,,,,,,,,,,,,,,,,,,,,,,,
18,48. Piura,Primaria,6 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Femenino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION6 Primaria,,,,,,,,,,,,,,,,,,,,,,,
19,48. Piura,Primaria,6 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Femenino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION6 Primaria,,,,,,,,,,,,,,,,,,,,,,,
20,48. Piura,Primaria,6 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Masculino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION6 Primaria,,,,,,,,,,,,,,,,,,,,,,,
21,48. Piura,Primaria,6 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Masculino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION6 Primaria,,,,,,,,,,,,,,,,,,,,,,,
22,48. Piura,Primaria,6 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Masculino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION6 Primaria,,,,,,,,,,,,,,,,,,,,,,,
23,48. Piura,Primaria,6 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Masculino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION6 Primaria,,,,,,,,,,,,,,,,,,,,,,,
24,48. Piura,Primaria,6 Primaria,14924 DANIEL ALCIDES CARRION,Rural,Masculino,Inicio,2024,SOLO 2024,PADD 2023 Y 2024,14924 DANIEL ALCIDES CARRION,14924 DANIEL ALCIDES CARRION6 Primaria,,,,,,,,,,,,,,,,,,,,,,,
